MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,How To Step (mPID)*,Description,Document Citations (mPIDs),URL
mbo_t44_fpod_howto,mbo_58464,mbo_task_4_4_seatrial_fpod,T4.4 FPOD data capture,mbo_t44_fpod_howtostep,Data from FPOD turned into useful measurements,,
mbo_t44_hydrophone_howto,mbo_58464,mbo_task_4_4_seatrial_hydrophone,T4.4 hydrophone data capture,mbo_t44_hydrophone_howtostep,Data from hydrophones turned into useful measurements,,
mbo_t44_echosounder_howto,mbo_58464,mbo_task_4_4_seatrial_echosounder,T4.4 ecosounder data capture,mbo_t44_echosounder_howtostep,Data from echosounders turned into useful measurements,,
mbo_t44_rov_howto,mbo_58464,mbo_task_4_4_seatrial_rov,T4.4 ROV camera work: raw to mp4,,Raw to subset and reformatted videos,,
mbo_t44_rov_howto_models,mbo_58464,mbo_task_4_4_seatrial_rov_modelling,T4.4 Multi-camera work: 3D modelling,mbo_t44_rov_howtostep_3dreconstruct,Photogrammetry,,
mbo_t44_edna1_howto,mbo_58464,mbo_task_4_4_seatrial_edna1,T4.4 eDNA work: from seabed,mbo_t44_edna_howtostep_fromseabed,,,
mbo_t44_edna2_howto,mbo_58464,mbo_task_4_4_seatrial_edna2,T4.4 eDNA work: from RV,mbo_t44_edna_howtostep_fromRV,,,
mbo_t5_1_2_habitatsuit_model_howto,mbo_58464,mbo_t5_1_2_habitatsuit_createmodel,T5.1.2 Model for habitat suitabilty,mbo_t_5_1_2_habitatsuit_model_howtostep,,,
mbo_t5_1_2_habitatsuit_modelrunning_howto,mbo_58464,mbo_t5_1_2_habitatsuit_runmodel,blabla,mbo_t_5_1_2_habitatsuit_runmodel_howtostep,,,
mbo_t5_2_genetic_indicators_howto,mbo_heynderickx,mbo_wp5_t5_2,T5.2 Script to calculate pelagic habitat indicators based on genetic data,mbo_t5_2_genetic_indicators_howtostep,,,
