MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Position in Parent*,Abstract,Description,Contributors (mPIDs),Provider (mPID),Source Code Citations (mPIDs),Software Application Citations (mPIDs),Service Citations (mPIDs),Document Citations (mPIDs),Child Steps (mPIDs),Implementation Tips (mPIDs),Audiences (mPIDs),Platforms Used (mPIDs),Instruments Used (mPIDs),URL
mbo_t44_fpod_howtostep,mbo_kexter,mbo_task_4_4_seatrial_fpod,T4.4 FPOD data capture,1,T4.4 hydrophonedata capture and raw data processing,,,,,mbo_t44_fpod_software,,,,,,mbo_seabedmooring,mbo_fpod_instrument,
mbo_t44_hydrophone_howtostep,mbo_kexter,mbo_task_4_4_seatrial_hydrophone,T4.4 hydrophone data capture,1,T4.4 hydrophone data capture and raw data processing,,,,mbo_t44_underwatersound,,,,,,,mbo_seabedmooring,mbo_hydrophone_soundtrap,
mbo_t44_echosounder_howtostep,mbo_kexter,mbo_task_4_4_seatrial_echosounder,T4.4 ecosounder data capture,1,T4.4 echosounder data capture and raw data processing,,,,,mbo_t44_echoview,,,,,,mbo_seabedmooring,mbo_echosounder_instrument,
mbo_t44_rov_howtostep_raw2mp4,mbo_kexter,mbo_task_4_4_seatrial_rov,T4.4 raw to mp4,1,To crop and convert the videos to mp4,For preprocessing and extracting frames,,,,mbo_t44_fmpegcode,,,,,,,,
mbo_t44_rov_howtostep_preprocessing,mbo_kexter,mbo_task_4_4_seatrial_rov_modelling,T4.4 preprocess and extract,2,For preprocessing and extracting frames once in mp4 format,,,,mbo_t44_multicamcode,,,,,,,,,
mbo_t44_rov_howtostep_3dreconstruct,mbo_kexter,mbo_task_4_4_seatrial_rov_modelling,T4.4 3D reconstruction,3,For 3D reconstruction (photograpmmetry),"From these reconstructions it is possible to inspect the environment. For example, we have demonstrated that species distribution, species count and measurement, ecosystem vertical profile and volume estimations can be made.",,,,mbo_t44_3Dreconstructcode,,,,,,,,
mbo_t44_edna_howtostep_fromseabed,mbo_kexter,mbo_task_4_4_seatrial_edna1,T4.4 eDNA collect and process: from seabed,1,Collecting and processing samples destined for eDNA,,,,,,,,,,,mbo_seabedlander,mbo_rosci,
mbo_t44_edna_howtostep_fromRV,mbo_kexter,mbo_task_4_4_seatrial_edna2,T4.4 eDNA collect and process: from RV,1,Collecting and processing samples destined for eDNA,,,,,,,,,,,mbo_simonstevin,mbo_rosci,
mbo_t_5_1_2_habitatsuit_model_howtostep,mbo_kexter,mbo_t5_1_2_habitatsuit_createmodel,T5.1.2 creating the model for habitat suitabilty,1,Johanne will write something,,,,mbo_t5_1_2_johannescode,,,,,,,,,
mbo_t_5_1_2_habitatsuit_model2vre_howtostep,mbo_kexter,mbo_t5_1_2_habitatsuit_model2lwvre,T5.1.2 Model uptake by LW VRE,1,The T5.1.2 habitat suitabilty model was copied to the LW GitLab and adapted to be run within the LifeWatch VRE,,,,mbo_t5_1_2_johannescode,,mbo_t5_1_2_habitatsuit_lwvreservice,,,,,,,
mbo_t5_2_genetic_indicators_howtostep,mbo_heynderickx,mbo_wp5_t5_2,T5.2 Gentic Pelagic Habitat Indicator PH1,1,Calculating pelagic habitat indicator PH1 lifeform ratios,Calculating pelagic habitat indicator PH1 lifeform ratios,mbo_heynderickx|mbo_jwarwickdugdale,,mbo_t5_2_genetic_indicators_code,,,,,,,,,
mbo_t5_1_2_habitatsuit_modelvrerun_howtostep,mbo_kexter,mbo_t5_1_2_habitatsuit_modelvrerun_bd,JoH write,1,Joh write,,,,,,mbo_t5_1_2_habitatsuit_lwvreservice,,,,,,,
mbo_t5_1_2_habitatsuit_modelvrerun_bd_howtostep,mbo_jnowe,mbo_t5_1_2_habitatsuit_modelvrerun_bd,T5.1.2 Run model on LW-VRE for bottlenose dolphin,1,"Inside the LW-VRE workflow studio, the marine habitat suitability predictions (monthly and decadal) was selected. The Aphiaid selection was 'Tursiops truncatus', startdate 1 January 2000, end date 31 december 2019, also copernicus marine username and password provided.",,,,,,,,,,,,,
mbo_t5_1_2_habitatsuit_modelvrerun_cd_howtostep,mbo_jnowe,mbo_t5_1_2_habitatsuit_modelvrerun_cd,T5.1.2 Run model on LW-VRE for common dolphin,1,"Inside the LW-VRE workflow studio, the marine habitat suitability predictions (monthly and decadal) was selected. The Aphiaid selection was 'Delphinus delphis', startdate 1 January 2000, end date 31 december 2019, also copernicus marine username and password provided.",,,,,,,,,,,,,
mbo_t5_1_2_habitatsuit_modelvrerun_hp_howtostep,mbo_jnowe,mbo_t5_1_2_habitatsuit_modelvrerun_hp,T5.1.2 Run model on LW-VRE for harbor porpoise,1,"Inside the LW-VRE workflow studio, the marine habitat suitability predictions (monthly and decadal) was selected. The Aphiaid selection was 'Phocoena phocoena', startdate 1 January 2000, end date 31 december 2019, also copernicus marine username and password provided.",,,,,,,,,,,,,
mbo_t5_1_2_habitatsuit_modelvrerun_hs_howtostep,mbo_jnowe,mbo_t5_1_2_habitatsuit_modelvrerun_hs,T5.1.2 Run model on LW-VRE for harbor seal,1,"Inside the LW-VRE workflow studio, the marine habitat suitability predictions (monthly and decadal) was selected. The Aphiaid selection was 'Phoca vitulina', startdate 1 January 2000, end date 31 december 2019, also copernicus marine username and password provided.",,,,,,,,,,,,,
