MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Organization Type*,Name*,Legal Name,Alternate Name,Identifiers,URL,Description,Founding Date,Dissolution Date,Contact Points (mPIDs),Parent Organization (mPID),Member of Organizations (mPIDs),Has Departments (mPIDs),Grants (mPIDs),Keywords
mbo_org_aps,mbo_sformel,mbo_db_tool_population,Organization,APS,Autoridad Portuaria De Sevilla,,https://ror.org/03a76f909,,Port Authority of Seville,,,,,mbo_org_mbo,,,"port authority, Spain, infrastructure"
mbo_org_awi,mbo_roblinksdata,mbo_db_task_1_1,ResearchOrganization,AWI,Alfred-Wegener-Institut Helmholtz-Zentrum Fur Polar- Und Meeresforschung,,https://ror.org/032e6b942,,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,1980-07-15,,,,mbo_org_mbo,,,"polar research, marine research, Helmholtz, Germany"
mbo_org_ciimar,mbo_sformel,mbo_db_tool_population,ResearchOrganization,CIIMAR,Centro Interdisciplinar De Investigacao Marinha E Ambiental,,https://ror.org/05p7z7s64,,Interdisciplinary Centre of Marine and Environmental Research,,,,,mbo_org_mbo,,,"marine research, environmental research, Portugal"
mbo_org_cnr,mbo_sformel,mbo_db_tool_population,ResearchOrganization,CNR,Consiglio Nazionale Delle Ricerche,,https://ror.org/04zaypm56,,National Research Council of Italy,,,,,mbo_org_mbo,,,"research council, Italy"
mbo_org_dtu,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,DTU,Danmarks Tekniske Universitet,,https://ror.org/04qtj9h94,,Technical University of Denmark,,,,,mbo_org_mbo,,,"technical university, Denmark"
mbo_org_embrc,mbo_sformel,mbo_db_tool_population,ResearchOrganization,EMBRC-ERIC,European Marine Biological Resource Centre European Research Infrastructure Consortium,EMBRC,https://ror.org/0038zss60,,European Research Infrastructure Consortium for marine biological resources,,,,,mbo_org_mbo,,,"marine biology, research infrastructure, ERIC, marine resources"
mbo_org_erinn,mbo_sformel,mbo_db_tool_population,ProfessionalService,ERINN,Erinn Innovation Limited,,,,Innovation and consultancy services,,,,,mbo_org_mbo,,,"innovation, consultancy, Ireland"
mbo_org_geoecom,mbo_sformel,mbo_db_tool_population,ResearchOrganization,GEOECOM,Ar Institutul National De Cercetare-Dezvoltare Pentru Geologie Si Geoecologie Marina Geoecomar,,https://ror.org/02qs41y18,,National Institute for Marine Geology and Geoecology,,,,,mbo_org_mbo,,,"marine geology, geoecology, Romania"
mbo_org_hereon,mbo_sformel,mbo_db_tool_population,ResearchOrganization,HEREON,Helmholtz-Zentrum Hereon Gmbh,,https://ror.org/03qjp1d79,,Helmholtz Centre for Materials and Coastal Research,,,,,mbo_org_mbo,,,"coastal research, materials science, Helmholtz, Germany"
mbo_org_horizon_europe,mbo_roblinksdata,mbo_db_task_1_1,GovernmentOrganization,Horizon Europe,European Commission,,https://ror.org/00k4n6c32,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en,"Horizon Europe is the EU’s key funding programme for research and innovation. Following the Multiannual Financial Framework Midterm Review (MTR) decision, the indicative funding amount for Horizon Europe for the period 2021-2027 is EUR 93.5 billion.",2021-01-01,2028-12-31,,,mbo_org_mbo,,,
mbo_org_ibens_cnrs,mbo_sformel,mbo_db_tool_population,ResearchOrganization,IBENS-CNRS,Institut de Biologie de l'École Normale Supérieure; Centre National De La Recherche Scientifique Cnrs,National Centre for Scientific Research (France),https://ror.org/03mxktp47,,,,,,,mbo_org_mbo,,,"research council, France"
mbo_org_lifewatch_belgium,mbo_sformel,mbo_db_tool_population,ResearchProject,LifeWatch Belgium,LifeWatch European Research Infrastructure Consortium,National Distributed Centre for LifeWatch Belgium,,https://www.lifewatch.be,"LifeWatch Belgium, also called the National Distributed Centre for LifeWatch Belgium combines the regional and federal LifeWatch contributions from Belgium.",,,,,mbo_org_mbo,,,
