MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Latitude (WGS 84),Longitude (WGS 84),GeoShape (mPID)
mbo_place_WCOL4,mbo_jwarwickdugdale,mbo_wp2_t2_3,Western Channel Observatory Coastal Site L4,"Coastal sampling site, 50 km off Plymouth, sampled since 1800's",50.25,-4.217,
mbo_place_eez_be,mbo_sformel,mbo_db_tool_population,Belgian EEZ,Belgian Exclusive Economic Zone (MRGID:3293). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,51.46321,2.72132,mbo_shape_bb_be
mbo_place_eez_bg,mbo_sformel,mbo_db_tool_population,Bulgarian EEZ,Bulgarian Exclusive Economic Zone (MRGID:5672). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,42.93396,29.20165,mbo_shape_bb_bg
mbo_place_eez_hr,mbo_sformel,mbo_db_tool_population,Croatian EEZ,Croatian Exclusive Economic Zone (MRGID:5673). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,43.43699,15.64779,mbo_shape_bb_hr
mbo_place_eez_cy,mbo_sformel,mbo_db_tool_population,Cypriote EEZ,Cypriot Exclusive Economic Zone (MRGID:8376). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,34.48929,32.63526,mbo_shape_bb_cy
mbo_place_eez_dk,mbo_sformel,mbo_db_tool_population,Danish EEZ,Danish Exclusive Economic Zone (MRGID:5674). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,56.15007,9.20529,mbo_shape_bb_dk
mbo_place_eez_nl,mbo_sformel,mbo_db_tool_population,Dutch EEZ,Dutch Exclusive Economic Zone (MRGID:5668). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,53.61335,4.18649,mbo_shape_bb_nl
mbo_place_eez_ee,mbo_sformel,mbo_db_tool_population,Estonian EEZ,Estonian Exclusive Economic Zone (MRGID:5675). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,58.77012,23.00232,mbo_shape_bb_ee
mbo_place_eez_fi,mbo_sformel,mbo_db_tool_population,Finnish EEZ,Finnish Exclusive Economic Zone (MRGID:5676). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,61.75484,21.88919,mbo_shape_bb_fi
mbo_place_eez_fr,mbo_sformel,mbo_db_tool_population,French EEZ,French Exclusive Economic Zone (MRGID:5677). Flanders Marine Institute (2025): MarineRegions.org. Available online at www.marineregions.org. Consulted on 2025-10-02.,46.07075,-1.9613,mbo_shape_bb_fr
