mPID,Contact Points (mPIDs)
mbo_23316,mbo_contact_dan|mbo_contact_wp1_d1_1|mbo_contact_wp1_d1_2|mbo_contact_wp1_d1_3|mbo_contact_wp1_t1_1|mbo_contact_wp1_t1_2|mbo_contact_wp1_t1_3|mbo_contact_wp1_t1_4
mbo_24333,mbo_contact_wp5_d5_5_2
mbo_25892,mbo_contact_wp6_d6_3|mbo_contact_wp6_d6_4|mbo_contact_wp6_t6_3
mbo_44123,mbo_contact_nick
mbo_49824,mbo_contact_wp6_d6_2|mbo_contact_wp6_t6_1|mbo_contact_wp6_t6_2
mbo_55091,mbo_contact_wp4_d4_1_2
mbo_58369,mbo_contact_wp3_d3_1
mbo_58452,mbo_contact_wp4_d4_1|mbo_contact_wp4_d4_4
mbo_60642,mbo_contact_mathilde
mbo_aperedoarce,mbo_contact_wp5_t5_1_1
mbo_avadrot,mbo_contact_wp6_d6_1
mbo_cbowler,mbo_contact_wp2_d2_4
mbo_ccanobarbacil,mbo_contact_wp5_d5_1
mbo_fnot,mbo_contact_wp2_d2_5
mbo_fthompson,mbo_contact_wp4_d4_1_3
mbo_garhire,mbo_contact_wp3_d3_4_3
mbo_gvecchi,mbo_contact_giulia
mbo_heynderickx,mbo_contact_wp5_d5_2|mbo_contact_wp5_t5_2
mbo_imatejusova,mbo_contact_wp2_d2_1
mbo_jnowe,mbo_contact_wp5_t5_1_2
mbo_julierobidart,mbo_contact_wp4_d4_1_1
mbo_jwarwickdugdale,mbo_contact_wp2_t2_3
mbo_kexter,mbo_contact_kexter
mbo_lilihufnagel,mbo_contact_wp3_d3_3_1|mbo_contact_wp3_t3_3
mbo_madamescu,mbo_contact_wp3_d3_4_1|mbo_contact_wp3_d3_4_2
mbo_madsrj,mbo_contact_wp2_d2_2
mbo_mcunliffe,mbo_contact_wp2_d2_3
mbo_mobst,mbo_contact_wp5_d5_4_2|mbo_contact_wp5_t5_4
mbo_ngallo,mbo_contact_wp5_d5_3|mbo_contact_wp5_t5_3
mbo_pmariani,mbo_contact_wp4_d4_2|mbo_contact_wp5_t5_1_3
mbo_rsanders,mbo_contact_wp5_d5_4_1
